#year,month,day,lat,lon,frph,instrument
2023,4,5,48.52,125.12,11.78,AHI Himawari-9
2023,4,5,48.52,125.14,11.78,AHI Himawari-9
2023,4,5,48.52,125.36,6.89,AHI Himawari-9
2023,4,5,48.52,125.38,6.89,AHI Himawari-9
2023,4,5,48.5,123.44,6.86,AHI Himawari-9
2023,4,5,48.5,123.46,15.84,AHI Himawari-9
2023,4,5,48.5,125.1,16.56,AHI Himawari-9
2023,4,5,48.5,125.12,16.56,AHI Himawari-9
2023,4,5,48.5,125.14,11.55,AHI Himawari-9
2023,4,5,48.48,123.44,6.88,AHI Himawari-9
2023,4,5,48.48,123.46,6.84,AHI Himawari-9
2023,4,5,48.48,123.48,15.89,AHI Himawari-9
2023,4,5,48.48,123.74,3.62,AHI Himawari-9
2023,4,5,48.48,123.76,3.62,AHI Himawari-9
2023,4,5,48.48,125.12,16.61,AHI Himawari-9
2023,4,5,48.44,123.94,11.09,AHI Himawari-9
2023,4,5,48.44,123.96,11.09,AHI Himawari-9
2023,4,5,48.44,124.02,29.12,AHI Himawari-9
2023,4,5,48.44,124.04,36.19,AHI Himawari-9
2023,4,5,48.44,124.2,26.42,AHI Himawari-9
2023,4,5,48.44,125.4,16.65,AHI Himawari-9
2023,4,5,48.44,125.42,82.18,AHI Himawari-9
2023,4,5,48.44,125.44,82.18,AHI Himawari-9
2023,4,5,48.42,123.96,11.09,AHI Himawari-9
2023,4,5,48.42,124.02,29.12,AHI Himawari-9
2023,4,5,48.42,124.04,36.19,AHI Himawari-9
2023,4,5,48.42,125.34,35.7,AHI Himawari-9
2023,4,5,48.42,125.38,28.52,AHI Himawari-9
2023,4,5,48.42,125.4,169.57,AHI Himawari-9
2023,4,5,48.42,125.42,169.57,AHI Himawari-9
2023,4,5,48.42,125.44,82.18,AHI Himawari-9
2023,4,5,48.4,123.98,21.12,AHI Himawari-9
2023,4,5,48.4,124,12.14,AHI Himawari-9
2023,4,5,48.4,124.2,15.63,AHI Himawari-9
2023,4,5,48.4,124.22,15.63,AHI Himawari-9
2023,4,5,48.4,125.34,35.7,AHI Himawari-9
2023,4,5,48.4,125.38,28.52,AHI Himawari-9
2023,4,5,48.4,125.4,169.57,AHI Himawari-9
2023,4,5,48.4,125.42,169.57,AHI Himawari-9
